Id,Label,timeset,target.id.oclc,target.title,target.location.name,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,modularity_class,target.title.ijmes
almsa5l aldwly0 alast3mary0,almsa5l aldwly0 alast3mary0,,NA,المسائل الدولية الاستعمارية,NA,1,0,1,1,0,1,3,almsa5l aldwly0 alast3mary0
almstWrQyn,almstWrQyn,,NA,المستشرقين,NA,1,0,1,1,0,1,3,almstWrQyn
almstQbl,almstQbl,,NA,المستقبل,NA,1,0,1,1,0,1,3,almstQbl
almSba7,almSba7,,NA,المصباح,NA,1,0,1,1,0,1,2,almSba7
almSwَّr,almSwَّr,,NA,المصوَّر,NA,1,0,1,1,0,1,3,almSwَّr
almD7kat,almD7kat,,NA,المضحكات,NA,1,0,1,1,0,1,2,almD7kat
alm3arf,alm3arf,,NA,المعارف,NA,1,0,1,1,0,1,0,alm3arf
alm3yn alajtma3y,alm3yn alajtma3y,,NA,المعين الاجتماعي,NA,1,0,1,1,0,1,3,alm3yn alajtma3y
almfyd0,almfyd0,,NA,المفيدة,NA,1,0,1,1,0,1,3,almfyd0
almQtbs alywmy,almQtbs alywmy,,NA,المقتبس اليومي,NA,1,0,1,1,0,1,3,almQtbs alywmy
almQTm,almQTm,,NA,المقطم,NA,1,0,1,1,0,1,3,almQTm
almnaZr,almnaZr,,NA,المناظر,NA,1,0,1,1,0,1,1,almnaZr
almntj,almntj,,NA,المنتج,NA,1,0,1,1,0,1,3,almntj
almntKbat,almntKbat,,NA,المنتخبات,NA,1,0,1,1,0,1,0,almntKbat
almntdA aladby,almntdA aladby,,NA,المنتدى الأدبي,NA,1,0,1,1,0,1,2,almntdA aladby
almnhl alSafy,almnhl alSafy,,NA,المنهل الصافي,NA,1,0,1,1,0,1,3,almnhl alSafy
almwrd alSafy,almwrd alSafy,,NA,المورد الصافي,NA,1,0,1,1,0,1,3,almwrd alSafy
almwrnn bwst,almwrnn bwst,,NA,المورنن بوست,NA,1,0,1,1,0,1,3,almwrnn bwst
almwrnn lydr,almwrnn lydr,,NA,المورنن ليدر,NA,1,0,1,1,0,1,3,almwrnn lydr
almwSl,almwSl,,NA,الموصل,NA,1,0,1,1,0,1,3,almwSl
aln,aln,,NA,الن,NA,1,0,1,1,0,1,0,aln
alnja7,alnja7,,NA,النجاح,NA,1,0,1,1,0,1,3,alnja7
alnKl,alnKl,,NA,النخل,NA,1,0,1,1,0,1,3,alnKl
alndym,alndym,,NA,النديم,NA,1,0,1,1,0,1,3,alndym
alnWr0,alnWr0,,NA,النشرة,NA,1,0,1,1,0,1,3,alnWr0
alnwadr,alnwadr,,NA,النوادر,NA,1,0,1,1,0,1,2,alnwadr
alnyw alnywz awf dy wrld,alnyw alnywz awf dy wrld,,NA,النيو النيوز اوف دي ورلد,NA,1,0,1,1,0,1,3,alnyw alnywz awf dy wrld
alhdaya,alhdaya,,NA,الهدايا,NA,1,0,1,1,0,1,3,alhdaya
alhday0,alhday0,,NA,الهداية,NA,1,0,1,1,0,1,3,alhday0
alhlal al3Umany,alhlal al3Umany,,NA,الهلال العثماني,NA,1,0,1,1,0,1,0,alhlal al3Umany
alwjdan,alwjdan,,NA,الوجدان,NA,1,0,1,1,0,1,2,alwjdan
alwrdy0,alwrdy0,,NA,الوردية,NA,1,0,1,1,0,1,3,alwrdy0
alwrQaq,alwrQaq,,NA,الورقاء,NA,1,0,1,1,0,1,3,alwrQaq
alwQa53,alwQa53,,NA,الوقائع,NA,1,0,1,1,0,1,3,alwQa53
alwQa53 almSry0,alwQa53 almSry0,,NA,الوقائع المصرية,NA,1,0,1,1,0,1,3,alwQa53 almSry0
alymn,alymn,,NA,اليمن,NA,1,0,1,1,0,1,3,alymn
balk,balk,,NA,بالك,NA,1,0,1,1,0,1,2,balk
ban,ban,,NA,بان,NA,1,0,1,1,0,1,3,ban
bnslfanya bakt,bnslfanya bakt,,NA,بنسلفانيا باكت,NA,1,0,1,1,0,1,3,bnslfanya bakt
pwl mraQlynar ynh rhbr,pwl mraQlynar ynh rhbr,,NA,پول مراقلينار ينه رهبر,NA,1,0,1,1,0,1,3,pwl mraQlynar ynh rhbr
taryK aladyan,taryK aladyan,,NA,تاريخ الأديان,NA,1,0,1,1,0,1,3,taryK aladyan
tdrysat abtda5y0 mjmw30 sy,tdrysat abtda5y0 mjmw30 sy,,NA,تدريسات ابتدائية مجموعة سي,NA,1,0,1,1,0,1,3,tdrysat abtda5y0 mjmw30 sy
trjman,trjman,,NA,ترجمان,NA,1,0,1,1,0,1,3,trjman
trjman 7QyQt,trjman 7QyQt,,NA,ترجمان حقيقت,NA,1,0,1,1,0,1,3,trjman 7QyQt
trQy,trQy,,NA,ترقي,NA,1,0,1,1,0,1,3,trQy
tSwf,tSwf,,NA,تصوف,NA,1,0,1,1,0,1,3,tSwf
tDmynat,tDmynat,,NA,تضمينات,NA,1,0,1,1,0,1,3,tDmynat
t3awn,t3awn,,NA,تعاون,NA,1,0,1,1,0,1,2,t3awn
tfkr,tfkr,,NA,تفكر,NA,1,0,1,1,0,1,2,tfkr
tQwym wQa53,tQwym wQa53,,NA,تقويم وقائع,NA,1,0,1,1,0,1,3,tQwym wQa53
tnZymat,tnZymat,,NA,تنظيمات,NA,1,0,1,1,0,1,3,tnZymat
jadalwz,jadalwz,,NA,جادالوز,NA,1,0,1,1,0,1,3,jadalwz
janT0,janT0,,NA,جانطة,NA,1,0,1,1,0,1,3,janT0
jbl 3aml,jbl 3aml,,NA,جبل عامل,NA,1,0,1,1,0,1,2,jbl 3aml
jbl lbnan,jbl lbnan,,NA,جبل لبنان,NA,1,0,1,1,0,1,3,jbl lbnan
jryd0 al7ars,jryd0 al7ars,,NA,جريدة الحارس,NA,1,0,1,1,0,1,3,jryd0 al7ars
jryd0 alslam,jryd0 alslam,,NA,جريدة السلام,NA,1,0,1,1,0,1,3,jryd0 alslam
jryd0 byrwt,jryd0 byrwt,,NA,جريدة بيروت,NA,1,0,1,1,0,1,3,jryd0 byrwt
jryd0 7wadU,jryd0 7wadU,,NA,جريدة حوادث,NA,1,0,1,1,0,1,3,jryd0 7wadU
jryd0 3dly0,jryd0 3dly0,,NA,جريدة عدلية,NA,1,0,1,1,0,1,3,jryd0 3dly0
jryd0 3skry0,jryd0 3skry0,,NA,جريدة عسكرية,NA,1,0,1,1,0,1,3,jryd0 3skry0
jm,jm,,NA,جم,NA,1,0,1,1,0,1,3,jm
jhyn0,jhyn0,,NA,جهينة,NA,1,0,1,1,0,1,2,jhyn0
jwrnal byrwt,jwrnal byrwt,,NA,جورنال بيروت,NA,1,0,1,1,0,1,3,jwrnal byrwt
jylaQ,jylaQ,,NA,جيلاق,NA,1,0,1,1,0,1,3,jylaQ
7kmt,7kmt,,NA,حكمت,NA,1,0,1,1,0,1,3,7kmt
7lb,7lb,,NA,حلب,NA,1,0,1,1,0,1,3,7lb
7wadU aljmhwr,7wadU aljmhwr,,NA,حوادث الجمهور,NA,1,0,1,1,0,1,3,7wadU aljmhwr
Kan jGan,Kan jGan,,NA,خان جغان,NA,1,0,1,1,0,1,2,Kan jGan
Kan lihb,Kan lihb,,NA,خان لذهب,NA,1,0,1,1,0,1,2,Kan lihb
Krdl0 al3lwm,Krdl0 al3lwm,,NA,خردلة العلوم,NA,1,0,1,1,0,1,2,Krdl0 al3lwm
dar alfnwn,dar alfnwn,,NA,دار الفنون,NA,1,0,1,1,0,1,3,dar alfnwn
dlyl Gwa0 alTwab3,dlyl Gwa0 alTwab3,,NA,دليل غواة الطوابع,NA,1,0,1,1,0,1,3,dlyl Gwa0 alTwab3
dwnyla,dwnyla,,NA,دونيلا,NA,1,0,1,1,0,1,2,dwnyla
dyr alQmr,dyr alQmr,,NA,دير القمر,NA,1,0,1,1,0,1,2,dyr alQmr
rsal0 mwQwt0 7rby0,rsal0 mwQwt0 7rby0,,NA,رسالة موقوتة حربية,NA,1,0,1,1,0,1,3,rsal0 mwQwt0 7rby0
rsmly ktab,rsmly ktab,,NA,رسملي كتاب,NA,1,0,1,1,0,1,3,rsmly ktab
r3d,r3d,,NA,رعد,NA,1,0,1,1,0,1,2,r3d
rwD0 alm3arf,rwD0 alm3arf,,NA,روضة المعارف,NA,1,0,1,1,0,1,3,rwD0 alm3arf
rwDh,rwDh,,NA,روضه,NA,1,0,1,1,0,1,2,rwDh
zhyr0 bGdad,zhyr0 bGdad,,NA,زهيرة بغداد,NA,1,0,1,1,0,1,2,zhyr0 bGdad
smyr alSba,smyr alSba,,NA,سمير الصبا,NA,1,0,1,1,0,1,3,smyr alSba
snyn,snyn,,NA,سنين,NA,1,0,1,1,0,1,3,snyn
swry0,swry0,,NA,سورية,NA,1,0,1,1,0,1,3,swry0
syf al7Q,syf al7Q,,NA,سيف الحق,NA,1,0,1,1,0,1,2,syf al7Q
Wms alm3arf,Wms alm3arf,,NA,شمس المعارف,NA,1,0,1,1,0,1,2,Wms alm3arf
Whraq,Whraq,,NA,شهراء,NA,1,0,1,1,0,1,3,Whraq
Wwra,Wwra,,NA,شورا,NA,1,0,1,1,0,1,3,Wwra
Wwray amt,Wwray amt,,NA,شوراي أمت,NA,1,0,1,1,0,1,3,Wwray amt
Sa5b,Sa5b,,NA,صائب,NA,1,0,1,1,0,1,2,Sa5b
S7yf0 nady dar al3lwm,S7yf0 nady dar al3lwm,,NA,صحيفة نادي دار العلوم,NA,1,0,1,1,0,1,3,S7yf0 nady dar al3lwm
SdA alWhbaq,SdA alWhbaq,,NA,صدى الشهباء,NA,1,0,1,1,0,1,3,SdA alWhbaq
SdA babl,SdA babl,,NA,صدى بابل,NA,1,0,1,1,0,1,2,SdA babl
SdA barys alfrnswy0,SdA barys alfrnswy0,,NA,صدى باريس الفرنسوية,NA,1,0,1,1,0,1,2,SdA barys alfrnswy0
SraT mstQym,SraT mstQym,,NA,صراط مستقيم,NA,1,0,1,1,0,1,3,SraT mstQym
Dyaq,Dyaq,,NA,ضياء,NA,1,0,1,1,0,1,3,Dyaq
Tbabt 7aDr0,Tbabt 7aDr0,,NA,طبابت حاضرة,NA,1,0,1,1,0,1,3,Tbabt 7aDr0
Trabls alGrb,Trabls alGrb,,NA,طرابلس الغرب,NA,1,0,1,1,0,1,3,Trabls alGrb
3Umanly rsamlr jm3yty Gzth sy,3Umanly rsamlr jm3yty Gzth sy,,NA,عثمانلي رساملر جمعيتي غزته سي,NA,1,0,1,1,0,1,3,3Umanly rsamlr jm3yty Gzth sy
3Sa mwsA,3Sa mwsA,,NA,عصا موسى,NA,1,0,1,1,0,1,2,3Sa mwsA
3fryt,3fryt,,NA,عفريت,NA,1,0,1,1,0,1,2,3fryt
3lm alnfs,3lm alnfs,,NA,علم النفس,NA,1,0,1,1,0,1,3,3lm alnfs
3lwm aQtSady0 wajtma3y0 mjmw30,3lwm aQtSady0 wajtma3y0 mjmw30,,NA,علوم اقتصادية واجتماعية مجموعة,NA,1,0,1,1,0,1,3,3lwm aQtSady0 wajtma3y0 mjmw30
GydyQ,GydyQ,,NA,غيديق,NA,1,0,1,1,0,1,3,GydyQ
fta0 alWrQ,fta0 alWrQ,,NA,فتاة الشرق,NA,1,0,1,1,0,1,3,fta0 alWrQ
fta0 lbnan,fta0 lbnan,,NA,فتاة لبنان,NA,1,0,1,1,0,1,2,fta0 lbnan
frnkfwrt,frnkfwrt,,NA,فرنكفورت,NA,1,0,1,1,0,1,3,frnkfwrt
Qadyn,Qadyn,,NA,قادين,NA,1,0,1,1,0,1,3,Qadyn
Qazan mKbry,Qazan mKbry,,NA,قازان مخبري,NA,1,0,1,1,0,1,3,Qazan mKbry
Qr0 kwz,Qr0 kwz,,NA,قرة كوز,NA,1,0,1,1,0,1,3,Qr0 kwz
Qrh snan,Qrh snan,,NA,قره سنان,NA,1,0,1,1,0,1,3,Qrh snan
Qlm,Qlm,,NA,قلم,NA,1,0,1,1,0,1,3,Qlm
Qlnj,Qlnj,,NA,قلنج,NA,1,0,1,1,0,1,2,Qlnj
krmh wnrmh,krmh wnrmh,,NA,كرمه ونرمه,NA,1,0,1,1,0,1,2,krmh wnrmh
kmal,kmal,,NA,كمال,NA,1,0,1,1,0,1,2,kmal
kwmydya,kwmydya,,NA,كوميديا,NA,1,0,1,1,0,1,3,kwmydya
labrys,labrys,,NA,لابريس,NA,1,0,1,1,0,1,3,labrys
lady hwm jwrnal,lady hwm jwrnal,,NA,لادي هوم جورنال,NA,1,0,1,1,0,1,3,lady hwm jwrnal
laGyr,laGyr,,NA,لاغير,NA,1,0,1,1,0,1,2,laGyr
laQtSad alajtma3y,laQtSad alajtma3y,,NA,لاقتصاد الاجتماعي,NA,1,0,1,1,0,1,3,laQtSad alajtma3y
lawmanyth,lawmanyth,,NA,لاومانيته,NA,1,0,1,1,0,1,3,lawmanyth
lbnan,lbnan,,NA,لبنان,NA,1,0,1,1,0,1,3,lbnan
ldyly myl,ldyly myl,,NA,لديلي ميل,NA,1,0,1,1,0,1,3,ldyly myl
lsan,lsan,,NA,لسان,NA,1,0,1,1,0,1,2,lsan
lsan al7al,lsan al7al,,NA,لسان الحال,NA,1,0,1,1,0,1,3,lsan al7al
lsan alWrQ,lsan alWrQ,,NA,لسان الشرق,NA,1,0,1,1,0,1,3,lsan alWrQ
lsan alSdQ,lsan alSdQ,,NA,لسان الصدق,NA,1,0,1,1,0,1,2,lsan alSdQ
lTyf,lTyf,,NA,لطيف,NA,1,0,1,1,0,1,3,lTyf
lG0,lG0,,NA,لغة,NA,1,0,1,1,0,1,2,lG0
lmQtbs,lmQtbs,,NA,لمقتبس,NA,1,0,1,1,0,1,3,lmQtbs
lmwrnn lydr,lmwrnn lydr,,NA,لمورنن ليدر,NA,1,0,1,1,0,1,3,lmwrnn lydr
lwmanyty,lwmanyty,,NA,لومانيتي,NA,1,0,1,1,0,1,0,lwmanyty
mjl0 ala7kam alWr3y0,mjl0 ala7kam alWr3y0,,NA,مجلة الأحكام الشرعية,NA,1,0,1,1,0,1,3,mjl0 ala7kam alWr3y0
mjl0 alantrwbws alansan,mjl0 alantrwbws alansan,,NA,مجلة الأنتروبوس الإنسان,NA,1,0,1,1,0,1,3,mjl0 alantrwbws alansan
mjl0 alaSla7 alajtma3y,mjl0 alaSla7 alajtma3y,,NA,مجلة الإصلاح الاجتماعي,NA,1,0,1,1,0,1,3,mjl0 alaSla7 alajtma3y
mjl0 alajtma3 aldwly0,mjl0 alajtma3 aldwly0,,NA,مجلة الاجتماع الدولية,NA,1,0,1,1,0,1,3,mjl0 alajtma3 aldwly0
mjl0 alaQtSad aldwly0,mjl0 alaQtSad aldwly0,,NA,مجلة الاقتصاد الدولية,NA,1,0,1,1,0,1,3,mjl0 alaQtSad aldwly0
mjl0 alaQtSadyyn,mjl0 alaQtSadyyn,,NA,مجلة الاقتصاديين,NA,1,0,1,1,0,1,3,mjl0 alaQtSadyyn
mjl0 alt3lym aldwly0,mjl0 alt3lym aldwly0,,NA,مجلة التعليم الدولية,NA,1,0,1,1,0,1,3,mjl0 alt3lym aldwly0
mjl0 al7Qa5Q waltlfyQ,mjl0 al7Qa5Q waltlfyQ,,NA,مجلة الحقائق والتلفيق,NA,1,0,1,1,0,1,0,mjl0 al7Qa5Q waltlfyQ
mjl0 alWtaq,mjl0 alWtaq,,NA,مجلة الشتاء,NA,1,0,1,1,0,1,3,mjl0 alWtaq
mjl0 alWrQ,mjl0 alWrQ,,NA,مجلة الشرق,NA,1,0,1,1,0,1,3,mjl0 alWrQ
mjl0 alTby30 alfrnsy0,mjl0 alTby30 alfrnsy0,,NA,مجلة الطبيعة الفرنسية,NA,1,0,1,1,0,1,3,mjl0 alTby30 alfrnsy0
mjl0 al3lm,mjl0 al3lm,,NA,مجلة العلم,NA,1,0,1,1,0,1,3,mjl0 al3lm
mjl0 al3wam,mjl0 al3wam,,NA,مجلة العوام,NA,1,0,1,1,0,1,3,mjl0 al3wam
mjl0 alQrn altas3 3Wr,mjl0 alQrn altas3 3Wr,,NA,مجلة القرن التاسع عشر,NA,1,0,1,1,0,1,3,mjl0 alQrn altas3 3Wr
mjl0 alljn0 alamyrky0 alWrQy0,mjl0 alljn0 alamyrky0 alWrQy0,,NA,مجلة اللجنة الأميركية الشرقية,NA,1,0,1,1,0,1,2,mjl0 alljn0 alamyrky0 alWrQy0
mjl0 almba7U,mjl0 almba7U,,NA,مجلة المباحث,NA,1,0,1,1,0,1,3,mjl0 almba7U
mjl0 almlky0,mjl0 almlky0,,NA,مجلة الملكية,NA,1,0,1,1,0,1,3,mjl0 almlky0
mjl0 almntdA aladby,mjl0 almntdA aladby,,NA,مجلة المنتدى الأدبي,NA,1,0,1,1,0,1,3,mjl0 almntdA aladby
mjl0 almwrd alSafy,mjl0 almwrd alSafy,,NA,مجلة المورد الصافي,NA,1,0,1,1,0,1,3,mjl0 almwrd alSafy
mjl0 aln s al3Sry0,mjl0 aln s al3Sry0,,NA,مجلة الن س العصرية,NA,1,0,1,1,0,1,0,mjl0 aln s al3Sry0
mjl0 antrby0,mjl0 antrby0,,NA,مجلة انتربية,NA,1,0,1,1,0,1,3,mjl0 antrby0
mjl0 jm3y0 almlaj5 al3basy0 wmkarm alaKlaQ alaslamy0,mjl0 jm3y0 almlaj5 al3basy0 wmkarm alaKlaQ alaslamy0,,NA,مجلة جمعية الملاجئ العباسية ومكارم الأخلاق الإسلامية,NA,1,0,1,1,0,1,3,mjl0 jm3y0 almlaj5 al3basy0 wmkarm alaKlaQ alaslamy0
mjl0 3rfat,mjl0 3rfat,,NA,مجلة عرفات,NA,1,0,1,1,0,1,3,mjl0 3rfat
mjl0 3lm alajtma3 aldwly0,mjl0 3lm alajtma3 aldwly0,,NA,مجلة علم الاجتماع الدولية,NA,1,0,1,1,0,1,3,mjl0 3lm alajtma3 aldwly0
mjl0 mstndat altrQy,mjl0 mstndat altrQy,,NA,مجلة مستندات الترقي,NA,1,0,1,1,0,1,3,mjl0 mstndat altrQy
mjl0 mSr walWrQ alfrnsy0,mjl0 mSr walWrQ alfrnsy0,,NA,مجلة مصر والشرق الفرنسية,NA,1,0,1,1,0,1,3,mjl0 mSr walWrQ alfrnsy0
mjl0 mTal3atna fy albywt,mjl0 mTal3atna fy albywt,,NA,مجلة مطالعاتنا في البيوت,NA,1,0,1,1,0,1,3,mjl0 mTal3atna fy albywt
mjmw30 abw alDya,mjmw30 abw alDya,,NA,مجموعة أبو الضيا,NA,1,0,1,1,0,1,3,mjmw30 abw alDya
mKzn 3lwm,mKzn 3lwm,,NA,مخزن علوم,NA,1,0,1,1,0,1,3,mKzn 3lwm
msamrat alW3b,msamrat alW3b,,NA,مسامرات الشعب,NA,1,0,1,1,0,1,3,msamrat alW3b
mstndat altrQy,mstndat altrQy,,NA,مستندات الترقي,NA,1,0,1,1,0,1,3,mstndat altrQy
mWrQ,mWrQ,,NA,مشرق,NA,1,0,1,1,0,1,3,mWrQ
mSb7 alWrQ,mSb7 alWrQ,,NA,مصبح الشرق,NA,1,0,1,1,0,1,2,mSb7 alWrQ
mTal3at albywt,mTal3at albywt,,NA,مطالعات البيوت,NA,1,0,1,1,0,1,3,mTal3at albywt
mTal3atna fy albywt,mTal3atna fy albywt,,NA,مطالعاتنا في البيوت,NA,1,0,1,1,0,1,3,mTal3atna fy albywt
mTal3atna fy bywtna,mTal3atna fy bywtna,,NA,مطالعاتنا في بيوتنا,NA,1,0,1,1,0,1,3,mTal3atna fy bywtna
mQtTf,mQtTf,,NA,مقتطف,NA,1,0,1,1,0,1,3,mQtTf
mlky0,mlky0,,NA,ملكية,NA,1,0,1,1,0,1,3,mlky0
mwda mlkh sy,mwda mlkh sy,,NA,مودا ملكه سي,NA,1,0,1,1,0,1,3,mwda mlkh sy
njf,njf,,NA,نجف,NA,1,0,1,1,0,1,2,njf
nfkr,nfkr,,NA,نفكر,NA,1,0,1,1,0,1,2,nfkr
nywywrk hrald,nywywrk hrald,,NA,نيويورك هرالد,NA,1,0,1,1,0,1,3,nywywrk hrald
wady alnyl,wady alnyl,,NA,وادي النيل,NA,1,0,1,1,0,1,3,wady alnyl
wjdan,wjdan,,NA,وجدان,NA,1,0,1,1,0,1,2,wjdan
wQt,wQt,,NA,وقت,NA,1,0,1,1,0,1,3,wQt
yky aQdam,yky aQdam,,NA,يكي إقدام,NA,1,0,1,1,0,1,3,yky aQdam
yky tSwyr afkar,yky tSwyr afkar,,NA,يكي تصوير أفكار,NA,1,0,1,1,0,1,3,yky tSwyr afkar
yky kwh zh,yky kwh zh,,NA,يكي كوه زه,NA,1,0,1,1,0,1,3,yky kwh zh
yky m7yT alm3arf Gzth Sy Gzth sy,yky m7yT alm3arf Gzth Sy Gzth sy,,NA,يكي محيط المعارف غزته صي غزته سي,NA,1,0,1,1,0,1,3,yky m7yT alm3arf Gzth Sy Gzth sy
yky mwdh,yky mwdh,,NA,يكي موده,NA,1,0,1,1,0,1,2,yky mwdh
yldyrm byn alnhryn,yldyrm byn alnhryn,,NA,يلديرم بين النهرين,NA,1,0,1,1,0,1,2,yldyrm byn alnhryn
alQbs,alQbs,,NA,القبس,NA,1,0,1,1,0,1,3,alQbs
tnwyr,tnwyr,,NA,تنوير,NA,1,0,1,1,0,1,2,tnwyr
472450345,Lughat al-ʿArab,,472450345,لغة العرب,,0,97,97,0,191,191,2,Lughat al-ʿArab
4770057679,al-Muqtabas,,4770057679,المقتبس,,0,362,362,0,685,685,3,al-Muqtabas
644997575,al-Ḥaqāʾiq,,644997575,الحقائق,,0,36,36,0,96,96,0,al-Ḥaqāʾiq
792756327,al-Ḥasnāʾ,,792756327,الحسناء,,0,12,12,0,15,15,1,al-Ḥasnāʾ
